0, -1, 0, 0
00, 0, -1.16003e+008, -1.25283e+008
01, 0, -1.20806e+008, -1.3047e+008
02, 0, -1.19193e+008, -1.28728e+008
010, 01, -1.86706e+008, -6.07343e+007
020, 02, -2.41807e+008, -1.22125e+008
000, 00, -2.31392e+008, -1.14597e+008
0100, 010, -3.12452e+008, -1.19675e+008
0000, 000, -3.52003e+008, -1.10268e+008
0001, 000, -3.52216e+008, -1.10497e+008
0200, 020, -3.60931e+008, -1.07761e+008
0201, 020, -3.60931e+008, -1.07761e+008
01000, 0100, -3.0871e+008, 3.10374e+007
02000, 0200, -2.32417e+008, 1.6998e+008
02010, 0201, -2.32417e+008, 1.6998e+008
00000, 0000, -3.05555e+008, 8.05777e+007
00010, 0001, -3.19767e+008, 6.54766e+007
020100, 02010, 2.16383e+008, 5.04785e+008
020000, 02000, 2.16383e+008, 5.04785e+008
010000, 01000, -2.06966e+008, 1.36556e+008
010001, 01000, -2.06966e+008, 1.36556e+008
000100, 00010, -1.06562e+008, 2.57889e+008
000000, 00000, 7.47602e+006, 3.64473e+008
0200000, 020000, 7.89093e+008, 5.99831e+008
0201000, 020100, 7.89093e+008, 5.99831e+008
0100000, 010000, 2.15338e+008, 4.7397e+008
0100001, 010000, 2.16991e+008, 4.75756e+008
0000000, 000000, 5.52372e+008, 5.87841e+008
0100010, 010001, 2.15338e+008, 4.7397e+008
0100011, 010001, 2.16991e+008, 4.75756e+008
0001000, 000100, 4.07036e+008, 5.63893e+008
00010000, 0001000, 6.83982e+008, 2.63934e+008
00010001, 0001000, 7.18701e+008, 3.0143e+008
01000000, 0100000, 7.67263e+008, 5.77474e+008
01000001, 0100000, 3.68647e+008, 1.46968e+008
00000000, 0000000, 9.30333e+008, 3.60473e+008
00000001, 0000000, 9.4361e+008, 3.74812e+008
02000000, 0200000, 1.10918e+009, 2.77512e+008
02000001, 0200000, 1.14042e+009, 3.11251e+008
02010000, 0201000, 1.10918e+009, 2.77512e+008
02010001, 0201000, 1.14042e+009, 3.11251e+008
01000010, 0100001, 7.94444e+008, 6.04901e+008
01000011, 0100001, 3.62157e+008, 1.38031e+008
01000110, 0100011, 7.94444e+008, 6.04901e+008
01000111, 0100011, 3.11161e+008, 8.29556e+007
000100000, 00010000, 1.25342e+009, 5.55898e+008
000000000, 00000000, 1.20416e+009, 2.15356e+008
010000000, 01000000, 1.02473e+009, 2.11768e+008
010000001, 01000000, 1.02694e+009, 2.14158e+008
020100000, 02010000, 1.35991e+009, 1.74955e+008
020100001, 02010000, 1.39739e+009, 2.15434e+008
020000000, 02000000, 1.36361e+009, 1.78954e+008
020000001, 02000000, 1.39763e+009, 2.157e+008
010001110, 01000111, 8.93686e+008, 6.02242e+008
010001111, 01000111, 5.41633e+008, 2.22025e+008
010000100, 01000010, 1.05459e+009, 2.12322e+008
010000101, 01000010, 1.14457e+009, 3.09497e+008
000000010, 00000001, 1.21486e+009, 2.11422e+008
000000011, 00000001, 1.16669e+009, 1.594e+008
010001100, 01000110, 1.05682e+009, 2.14727e+008
010001101, 01000110, 1.05467e+009, 2.12406e+008
000100010, 00010001, 1.29036e+009, 5.55301e+008
000100011, 00010001, 1.29036e+009, 5.55301e+008
020000010, 02000001, 1.32816e+009, 1.04237e+008
020000011, 02000001, 1.67834e+009, 4.82425e+008
010000010, 01000001, 9.51522e+008, 5.97654e+008
010000011, 01000001, 9.51516e+008, 5.97648e+008
020100010, 02010001, 1.32816e+009, 1.04237e+008
020100011, 02010001, 1.32816e+009, 1.04237e+008
010000110, 01000011, 6.95195e+008, 3.28391e+008
010000111, 01000011, 5.36265e+008, 1.56746e+008
0200000100, 020000010, 1.5807e+009, 1.57984e+008
0200000101, 020000010, 1.5956e+009, 1.74079e+008
0200000010, 020000001, 1.58153e+009, 7.7855e+007
0200000011, 020000001, 1.56593e+009, 6.10023e+007
0201000000, 020100000, 1.5252e+009, 6.10256e+007
